Thème;Type;Questions;A;B;C;D;Réponse
Anciens élèves;Duo;Au 19e siècle, quel homme politique passera par le collège de Lesneven et donnera ensuite son nom à l'hopital de Brest ?;Patrick CavalBlanche;Augustin Morvan;;;Augustin Morvan
Anciens élèves;Duo;Quel est le titre du dernier livre écrit par M.Cousin ?;Un poème par jour tiré de mon vieux pot de confiture;La nuit, sans triche;;;Un poème par jour tiré de mon vieux pot de confiture
Anciens élèves;Duo;Jean-Yves Kerhornou a effectué, au début des années 80, son stage de Terminale dans un lieu insolite, lequel ?;Une morgue;Une boite de nuit;;;Une boite de nuit
Anciens élèves;Carré;"Quel journaliste mode, ancien élève de SFND, anime """"5 minutes de mode"""" sur TMC ?";Marc Beaugé;Loic Prigent;Pierrick Le Gall;Yann Barthès;Loïc Prigent
Anciens élèves;Carré;Gildas Loaec ancien élève de Saint François est l'ancien producteur d'un groupe de musique mondialement connu, lequel ?;La compagnie Créole;Les Musclés;Daft Punk;ShakaPonk;Daft Punk
Anciens élèves;Carré;Comment s'appelait le réseau de résistants auquel appartenait Georges Roudaut ?;Breizhistance;Union;Alliance;Ensemble;Alliance
Anciens élèves;Cash;Quel est le talent caché de Mélissa, notre responsable de vie Scolaire du lycée ?;Le jonglage;Elle crache du feu;La pâtisserie;Le piano;La pâtisserie
Anciens élèves;Cash;Combien d'oscar a reçu Ronan Broudin, parrain des premiers étudiants du BTS audiovisuel ?;Aucun;1;2;3;2
Anciens élèves;Cash;Qui est le ou la dernière ancien ou ancienne élève travaillant à SFND à être partie à la retraite ?;;;;;Mme Larrour
Anciens élèves;Cash;En 2023, combien d'enseignants de SFND sont aussi d'anciens élèves de SFND ?;;;;;15
Anciens élèves;Cash;Dans quelle discipline Morgan Léon a t il brillé lors des championnats du monde des personnes de petite taille ?;;;;;La Natation
Anciens élèves;Cash;Dans quelle classe M.Croguennec a-t-il fait sa rentrée en 6e à Saint-François ?;;;;;6G
