Thème;Type;Questions;A;B;C;D;Réponse
Marque ;Duo;Quelle est la signification du sigle de la marque de luxe : LV?;Louis Vuitton;Laurent Voulzy;;;Louis Vuitton
Marque ;Duo;De quel parfum de Yves saint Laurent, Dua Lipa est-elle l'égerie?;Libre;Elle;;;Libre
Marque ;Duo;En quelle année a été fabriqué le premier beurre de Paysans Bretons? ;1969;1979;;;1969
Marque ;Carré;D'où est originaire la chaine de magasin IKEA?;Suède;Pays-Bas;Norvège;France;Suède
Marque ;Carré;Qui est le principal créateur de Google?;Elon Musk;Larry Page;Mark Zuckerberg ;Donald Trump;Larry Page
Marque ;Carré;Quel est le principal ingrédient du Coca Cola, dans la composition originelle?;La feuille de coca;La feuille de cocaïne;Le caoutchouc;La caféine;La feuille de coca
Marque ;Cash;De quel pays est originaire la marque Ferrari?;;;;;Italienne
Marque ;Cash;Pour quelle marque de luxe Eva Longoria promeut les produits?;;;;;L'Oréal
Marque ;Cash;Que vend essentiellement la marque d'aliments Panzani?;;;;;Des pâtes
Marque ;Cash;Quel est l'animal qui représente la marque Lacoste?;;;;;Un crocodile
Marque ;Cash;Quelle est la marque représentée par une pomme croquée?;;;;;Apple
Marque ;Cash;"Par quelle marque de produits de beauté est utilisée le slogan ""the unlimited power of beauty""?""";;;;;Sephora
