Thème;Type;Questions;A;B;C;D;Réponse
190 ans de SFND;Duo;Quel a été le second rôle de sfnd durant la première guerre mondiale?;Réserve de munition;Hôpital;;;Hôpital
190 ans de SFND;Duo;En quelle année, a eu lieu la fusion entre Saint-François et Notre Dame ?;2000;2001;;;2001
190 ans de SFND;Duo;Sur le tableau noir de l'expo, quelle est le titre de la fable qui y est écrit ?;Le lièvre et la tortue;La cigale et la fourni;;;La cigale et la fourmi
190 ans de SFND;Carré;Entre 1914 et 1975, quel était le titre du chef d'établissement de SFND ?;Le supérieur;Le principal;Le chef;Le Manitou;Le supérieur
190 ans de SFND;Carré;Qui est le premier Laïc à avoir pris la direction de SFND ?;André Bouguen;Thierry Lavarec;Désiré Quiviger;François Boulic;Désiré Quiviger
190 ans de SFND;Carré;Quel batiment de SFND a été ravagé par un incendie au début des années 2000 ?;Le self;Les labos de sciences;La salle des fêtes;La permanence des 6ème;La salle des fêtes
190 ans de SFND;Cash;Quel est le titre de la publication écrite par l'amicale des anciens de SFND ?;;;;;En avant
190 ans de SFND;Cash;A la rentrée 2023, combien y a t-il de classe de 5ème ?;;;;;8
190 ans de SFND;Cash;Qui est la première femme à avoir été à la direction du collège ou du lycée SFND ?;;;;;Mme Mullard
190 ans de SFND;Cash;En quelle année l'option CAV a-t-elle vu le jour à Saint François ?;;;;;1987
190 ans de SFND;Cash;Qui était à la tête du pays lorsque le collège communal a été créé ?;;;;;Louis Philippe
190 ans de SFND;Cash;En 1984, quel fait marquera a jamais l'histoire de St François ?;;;;;Début de la mixité
